,Album,Title,Length
0,The Red Hot Chili Peppers,True Men Don't Kill Coyotes,3:38
1,The Red Hot Chili Peppers,Baby Appeal,3:40
2,The Red Hot Chili Peppers,Buckle Down,3:21
3,The Red Hot Chili Peppers,Get Up and Jump,2:51
4,The Red Hot Chili Peppers,Why Don't You Love Me,3:21
5,The Red Hot Chili Peppers,Green Heaven,3:58
6,The Red Hot Chili Peppers,Mommy Where's Daddy?,3:29
7,The Red Hot Chili Peppers,Out in L.A.,2:00
8,The Red Hot Chili Peppers,Police Helicopter,1:16
9,The Red Hot Chili Peppers,You Always Sing the Same,0:16
10,The Red Hot Chili Peppers,Grand Pappy Du Plenty,4:04
11,Freaky Styley,Jungle Man,4:08
12,Freaky Styley,Hollywood,5:03
13,Freaky Styley,American Ghost Dance,3:51
14,Freaky Styley,If You Want Me to Stay,4:06
15,Freaky Styley,Nevermind,2:47
16,Freaky Styley,Freaky Styley,3:39
17,Freaky Styley,Blackeyed Blonde,2:40
18,Freaky Styley,The Brothers Cup,3:26
19,Freaky Styley,Battleship,1:53
20,Freaky Styley,Lovin' and Touchin',0:36
21,Freaky Styley,Catholic School Girls Rule,1:55
22,Freaky Styley,Sex Rap,1:54
23,Freaky Styley,Thirty Dirty Birds,0:14
24,Freaky Styley,Yertle the Turtle,3:38
25,The Uplift Mofo Party Plan,Fight Like a Brave,3:53
26,The Uplift Mofo Party Plan,Funky Crime,3:00
27,The Uplift Mofo Party Plan,Me and My Friends,3:09
28,The Uplift Mofo Party Plan,Backwoods,3:08
29,The Uplift Mofo Party Plan,Skinny Sweaty Man,1:16
30,The Uplift Mofo Party Plan,Behind the Sun,4:40
31,The Uplift Mofo Party Plan,Subterranean Homesick Blues,2:34
32,The Uplift Mofo Party Plan,Party on Your Pussy,3:16
33,The Uplift Mofo Party Plan,No Chump Love Sucker,2:42
34,The Uplift Mofo Party Plan,Walkin' on Down the Road,3:49
35,The Uplift Mofo Party Plan,Love Trilogy,2:42
36,The Uplift Mofo Party Plan,Organic Anti-Beat Box Band,4:10
37,The Uplift Mofo Party Plan,Behind the Sun,2:54
38,The Uplift Mofo Party Plan,Me and My Friends,2:06
39,Mother's Milk,Good Time Boys,5:01
40,Mother's Milk,Higher Ground,3:22
41,Mother's Milk,Subway to Venus,4:25
42,Mother's Milk,Magic Johnson,2:57
43,Mother's Milk,Nobody Weird Like Me,3:48
44,Mother's Milk,Knock Me Down,3:43
45,Mother's Milk,Taste the Pain,4:33
46,Mother's Milk,Stone Cold Bush,3:05
47,Mother's Milk,Fire,2:03
48,Mother's Milk,Pretty Little Ditty,3:07
49,Mother's Milk,Punk Rock Classic,1:46
50,Mother's Milk,Sexy Mexican Maid,3:21
51,Mother's Milk,"Johnny, Kick a Hole in the Sky",5:10
52,Blood Sugar Sex Magik,The Power of Equality,4:03
53,Blood Sugar Sex Magik,If You Have to Ask,3:36
54,Blood Sugar Sex Magik,Breaking the Girl,4:55
55,Blood Sugar Sex Magik,Funky Monks,5:22
56,Blood Sugar Sex Magik,Suck My Kiss,3:36
57,Blood Sugar Sex Magik,I Could Have Lied,4:04
58,Blood Sugar Sex Magik,Mellowship Slinky in B Major,3:59
59,Blood Sugar Sex Magik,The Righteous & the Wicked,4:07
60,Blood Sugar Sex Magik,Give It Away,4:42
61,Blood Sugar Sex Magik,Blood Sugar Sex Magik,4:31
62,Blood Sugar Sex Magik,Under the Bridge,4:24
63,Blood Sugar Sex Magik,Naked in the Rain,4:25
64,Blood Sugar Sex Magik,Apache Rose Peacock,4:41
65,Blood Sugar Sex Magik,The Greeting Song,3:13
66,Blood Sugar Sex Magik,My Lovely Man,4:39
67,Blood Sugar Sex Magik,Sir Psycho Sexy,8:16
68,Blood Sugar Sex Magik,They're Red Hot,1:09
69,One Hot Minute,Warped,5:04
70,One Hot Minute,Aeroplane,4:44
71,One Hot Minute,Deep Kick,6:34
72,One Hot Minute,My Friends,4:03
73,One Hot Minute,Coffee Shop,3:08
74,One Hot Minute,Pea,1:46
75,One Hot Minute,One Big Mob,6:01
76,One Hot Minute,Walkabout,5:07
77,One Hot Minute,Tearjerker,4:19
78,One Hot Minute,One Hot Minute,6:25
79,One Hot Minute,Falling into Grace,3:47
80,One Hot Minute,Shallow Be Thy Game,4:33
81,One Hot Minute,Transcending,5:43
82,Californication,Around the World,3:58
83,Californication,Parallel Universe,4:30
84,Californication,Scar Tissue,3:37
85,Californication,Otherside,4:15
86,Californication,Get on Top,3:18
87,Californication,Californication,5:21
88,Californication,Easily,3:51
89,Californication,Porcelain,2:43
90,Californication,Emit Remmus,4:00
91,Californication,I Like Dirt,2:37
92,Californication,This Velvet Glove,3:45
93,Californication,Savior,4:52
94,Californication,Purple Stain,4:13
95,Californication,Right on Time,1:52
96,Californication,Road Trippin',3:25
97,By the Way,By the Way,3:37
98,By the Way,Universally Speaking,4:18
99,By the Way,This Is the Place,4:16
100,By the Way,Dosed,5:11
101,By the Way,Don't Forget Me,4:36
102,By the Way,The Zephyr Song,3:52
103,By the Way,Can't Stop,4:28
104,By the Way,I Could Die for You,3:13
105,By the Way,Midnight,4:54
106,By the Way,Throw Away Your Television,3:43
107,By the Way,Cabron,3:37
108,By the Way,Tear,5:16
109,By the Way,On Mercury,3:28
110,By the Way,Minor Thing,3:37
111,By the Way,Warm Tape,4:15
112,By the Way,Venice Queen,6:06
113,Stadium Arcadium,Dani California,4:42
114,Stadium Arcadium,Snow,5:34
115,Stadium Arcadium,Charlie,4:37
116,Stadium Arcadium,Stadium Arcadium,5:15
117,Stadium Arcadium,Hump de Bump,3:33
118,Stadium Arcadium,She's Only 18,3:25
119,Stadium Arcadium,Slow Cheetah,5:19
120,Stadium Arcadium,Torture Me,3:44
121,Stadium Arcadium,Strip My Mind,4:19
122,Stadium Arcadium,Especially in Michigan,4:00
123,Stadium Arcadium,Warlocks,3:25
124,Stadium Arcadium,C'mon Girl,3:48
125,Stadium Arcadium,Wet Sand,5:09
126,Stadium Arcadium,Hey,5:39
127,Stadium Arcadium,Desecration Smile,5:01
128,Stadium Arcadium,Tell Me Baby,4:07
129,Stadium Arcadium,Hard to Concentrate,4:01
130,Stadium Arcadium,21st Century,4:22
131,Stadium Arcadium,She Looks to Me,4:06
132,Stadium Arcadium,Readymade,4:30
133,Stadium Arcadium,If,2:52
134,Stadium Arcadium,Make You Feel Better,3:52
135,Stadium Arcadium,Animal Bar,5:24
136,Stadium Arcadium,So Much I,3:44
137,Stadium Arcadium,Storm in a Teacup,3:45
138,Stadium Arcadium,We Believe,3:36
139,Stadium Arcadium,Turn It Again,6:06
140,Stadium Arcadium,Death of a Martian,4:24
