,Title,Ouvintes
0,Californication,1.987.134 ouvintes
1,Under the Bridge,1.879.482 ouvintes
2,Scar Tissue,1.669.300 ouvintes
3,Otherside,1.645.027 ouvintes
4,Dani California,1.522.809 ouvintes
5,Can't Stop,1.441.004 ouvintes
6,By the Way,1.348.798 ouvintes
7,Snow (Hey Oh),1.102.479 ouvintes
8,Give It Away,1.021.202 ouvintes
9,Around the World,896.434 ouvintes
10,Parallel Universe,873.325 ouvintes
11,The Zephyr Song,858.105 ouvintes
12,Road Trippin',829.076 ouvintes
13,Tell Me Baby,764.404 ouvintes
14,Suck My Kiss,740.489 ouvintes
15,Universally Speaking,650.970 ouvintes
16,Breaking the Girl,647.989 ouvintes
17,Easily,624.289 ouvintes
18,Hump de Bump,573.716 ouvintes
19,Stadium Arcadium,571.346 ouvintes
20,Get on Top,568.678 ouvintes
21,Soul to Squeeze,552.758 ouvintes
22,Porcelain,540.124 ouvintes
23,Charlie,539.671 ouvintes
24,This Velvet Glove,529.653 ouvintes
25,My Friends,528.041 ouvintes
26,Dosed,521.034 ouvintes
27,Higher Ground,520.346 ouvintes
28,Don't Forget Me,515.991 ouvintes
29,Wet Sand,508.266 ouvintes
30,Slow Cheetah,496.991 ouvintes
31,Desecration Smile,492.652 ouvintes
32,Emit Remmus,472.466 ouvintes
33,I Could Die for You,467.716 ouvintes
34,I Like Dirt,466.204 ouvintes
35,Especially in Michigan,464.257 ouvintes
36,Strip My Mind,462.729 ouvintes
37,Purple Stain,458.231 ouvintes
38,Hard to Concentrate,458.193 ouvintes
39,Snow ((Hey Oh)),455.185 ouvintes
40,Torture Me,455.071 ouvintes
41,Right on Time,441.352 ouvintes
42,Savior,437.732 ouvintes
43,This Is the Place,428.073 ouvintes
44,Hey,419.629 ouvintes
45,She Looks to Me,417.782 ouvintes
46,Throw Away Your Television,415.418 ouvintes
47,Aeroplane,411.510 ouvintes
48,21st Century,409.117 ouvintes
49,She's Only 18,407.672 ouvintes
50,I Could Have Lied,404.719 ouvintes
51,Dark Necessities,402.325 ouvintes
52,Warlocks,399.159 ouvintes
53,Cabron,391.552 ouvintes
54,Midnight,389.676 ouvintes
55,The Adventures of Rain Dance Maggie,387.854 ouvintes
56,Make You Feel Better,386.375 ouvintes
57,Fortune Faded,376.780 ouvintes
58,Minor Thing,368.082 ouvintes
59,On Mercury,367.648 ouvintes
60,Readymade,367.030 ouvintes
61,Venice Queen,365.594 ouvintes
62,Tear,357.278 ouvintes
63,If,356.151 ouvintes
64,If You Have to Ask,349.754 ouvintes
65,Animal Bar,349.456 ouvintes
66,C'mon Girl,346.263 ouvintes
67,Death of a Martian,344.548 ouvintes
68,The Power of Equality,342.179 ouvintes
69,Storm in a Teacup,341.984 ouvintes
70,Blood Sugar Sex Magik,339.915 ouvintes
71,So Much I,336.323 ouvintes
72,Funky Monks,330.818 ouvintes
73,We Believe,330.103 ouvintes
74,Turn It Again,329.126 ouvintes
75,Warm Tape,309.825 ouvintes
76,Mellowship Slinky in B Major,296.694 ouvintes
77,Naked in the Rain,295.195 ouvintes
78,Apache Rose Peacock,284.191 ouvintes
79,The Greeting Song,271.373 ouvintes
80,My Lovely Man,267.638 ouvintes
81,Sir Psycho Sexy,264.499 ouvintes
82,Look Around,258.891 ouvintes
83,The Righteous & The Wicked,253.427 ouvintes
84,Monarchy of Roses,245.481 ouvintes
85,They're Red Hot,244.897 ouvintes
86,Brendan's Death Song,225.925 ouvintes
87,Save the Population,223.491 ouvintes
88,Factory of Faith,222.404 ouvintes
89,Warped,198.944 ouvintes
90,Ethiopia,196.619 ouvintes
91,Did I Let You Know,194.271 ouvintes
92,Annie Wants a Baby,185.492 ouvintes
93,Police Station,183.824 ouvintes
94,The Getaway,183.790 ouvintes
95,Pea,182.626 ouvintes
96,Coffee Shop,182.255 ouvintes
97,Knock Me Down,178.156 ouvintes
98,Goodbye Angels,174.165 ouvintes
99,Fight Like a Brave,172.125 ouvintes
100,Walkabout,171.740 ouvintes
101,Goodbye Hooray,167.945 ouvintes
102,Happiness Loves Company,167.468 ouvintes
103,Sick Love,166.928 ouvintes
104,Tearjerker,165.858 ouvintes
105,Black Summer,163.576 ouvintes
106,Go Robot,163.220 ouvintes
107,Meet Me at the Corner,161.250 ouvintes
108,Fire,160.046 ouvintes
109,Even You Brutus?,157.263 ouvintes
110,Deep Kick,154.619 ouvintes
111,"Dance, Dance, Dance",153.420 ouvintes
112,Taste the Pain,149.052 ouvintes
113,The Longest Wave,147.540 ouvintes
114,Falling Into Grace,143.781 ouvintes
115,One Big Mob,143.524 ouvintes
116,Pretty Little Ditty,143.449 ouvintes
117,One Hot Minute,140.965 ouvintes
118,Transcending,139.387 ouvintes
119,Road Trippin,134.159 ouvintes
120,Backwoods,132.355 ouvintes
121,If You Want Me to Stay,129.286 ouvintes
122,Shallow Be Thy Game,128.371 ouvintes
123,We Turn Red,126.223 ouvintes
124,Good Time Boys,121.392 ouvintes
125,Behind the Sun,120.838 ouvintes
